prot,lig,score
4w5j_protein,4w5j,0.66238636
3i7i_protein,3i7i,0.555255
4hbv_protein,4hbv,0.8986486
5l2y_protein,5l2y,0.8109959
4bt4_protein,4bt4,0.6623303
3oaw_protein,3oaw,0.80958134
2nno_protein,2nno,0.96824324
3omg_protein,3omg,0.06583404
6h2t_protein,6h2t,0.4234375
2qo1_protein,2qo1,0.52095515
4ijp_protein,4ijp,0.19805448
2aoc_protein,2aoc,0.47562006
6hjj_protein,6hjj,0.41417003
4j5c_protein,4j5c,0.85159236
5ehi_protein,5ehi,0.0
3utu_protein,3utu,0.65282565
3g58_protein,3g58,0.94545454
5u9d_protein,5u9d,0.12973139
5vii_protein,5vii,0.8668009
3coy_protein,3coy,0.9025298
2vip_protein,2vip,0.765625
1zgi_protein,1zgi,0.58850366
6f4x_protein,6f4x,0.7993223
2oqi_protein,2oqi,0.12966488
1sdt_protein,1sdt,0.6627327
2f9v_protein,2f9v,0.6567614
6ehh_protein,6ehh,0.9463987
2bks_protein,2bks,0.4136091
1f4e_protein,1f4e,0.0
4czs_protein,4czs,0.0023273856
4zl4_protein,4zl4,0.54885656
5m51_protein,5m51,0.77921194
4obo_protein,4obo,0.6733983
2v25_protein,2v25,0.65829694
3ts4_protein,3ts4,0.6798501
5kjk_protein,5kjk,0.5080645
4fk7_protein,4fk7,0.8486056
3aig_protein,3aig,0.886108
5x74_protein,5x74,0.44717166
5fqc_protein,5fqc,0.9016556
2azr_protein,2azr,0.73333335
3kc3_protein,3kc3,0.25943792
5x62_protein,5x62,0.0
3vqs_protein,3vqs,0.11995754
4ew2_protein,4ew2,0.81614786
3h0e_protein,3h0e,0.87081337
4ayq_protein,4ayq,0.9873737
4gvd_protein,4gvd,0.21854664
5ttv_protein,5ttv,0.35569853
1o7o_protein,1o7o,0.8984568
5n17_protein,5n17,0.5238337
3chg_protein,3chg,0.65068495
5da3_protein,5da3,0.1495098
5j47_protein,5j47,0.9313233
1nnu_protein,1nnu,0.931
3l4x_protein,3l4x,0.9496805
6eil_protein,6eil,0.70526314
2ygf_protein,2ygf,0.56414807
1uyh_protein,1uyh,0.9042969
2fxr_protein,2fxr,0.8434801
4k72_protein,4k72,0.0
3wch_protein,3wch,0.38303858
3bug_protein,3bug,0.8489209
2bes_protein,2bes,0.9290061
1lag_protein,1lag,0.93273544
1zaf_protein,1zaf,0.26927438
5wfm_protein,5wfm,0.50354105
4j58_protein,4j58,0.8680782
4q7v_protein,4q7v,0.61345106
5d7a_protein,5d7a,0.15477085
2f1b_protein,2f1b,0.8284575
2qd9_protein,2qd9,0.08489173
4obp_protein,4obp,0.56888443
4aje_protein,4aje,0.7883466
6arm_protein,6arm,0.9044384
5a7b_protein,5a7b,0.8376543
3o56_protein,3o56,0.78139186
6fba_protein,6fba,0.0
4nyf_protein,4nyf,0.77014387
5sz6_protein,5sz6,0.84498835
3l7d_protein,3l7d,0.91928905
5nqe_protein,5nqe,0.046836983
5v40_protein,5v40,0.90428746
5ngu_protein,5ngu,0.87271446
5eiw_protein,5eiw,0.7864583
4nrc_protein,4nrc,0.4685829
5wg8_protein,5wg8,0.13636364
3hzm_protein,3hzm,0.17451923
5m3a_protein,5m3a,0.4076545
4z2g_protein,4z2g,0.5181471
3sv8_protein,3sv8,0.29239202
4bdi_protein,4bdi,0.076719575
5kbr_protein,5kbr,0.18544239
5uv5_protein,5uv5,0.0
6h9b_protein,6h9b,0.0
2xda_protein,2xda,0.9128686
4uat_protein,4uat,0.9006579
4oc6_protein,4oc6,0.5193421
2e9d_protein,2e9d,0.5140382
1bp0_protein,1bp0,0.9578313
2c68_protein,2c68,0.82284766
1dmb_protein,1dmb,0.0
5zeq_protein,5zeq,0.86846846
3qo9_protein,3qo9,0.2194607
5nn6_protein,5nn6,0.96588695
5dh4_protein,5dh4,0.70318353
5j6l_protein,5j6l,0.7051282
5lhu_protein,5lhu,0.5281186
4rqk_protein,4rqk,0.7839506
1g36_protein,1g36,0.82998663
2r1x_protein,2r1x,0.31703368
4avw_protein,4avw,1.0
5nn5_protein,5nn5,0.0
4bb9_protein,4bb9,0.7726171
4h2j_protein,4h2j,0.07073296
3ut5_protein,3ut5,0.0
3zya_protein,3zya,0.4951193
2uue_protein,2uue,0.6565272
4ahu_protein,4ahu,0.9585153
6eea_protein,6eea,0.71982116
3k8d_protein,3k8d,0.032790698
5ytu_protein,5ytu,0.0
4h58_protein,4h58,0.23988155
3ck7_protein,3ck7,0.0
6dhc_protein,6dhc,0.6417368
6g38_protein,6g38,0.0
2y7i_protein,2y7i,0.9594595
4g2j_protein,4g2j,0.8352855
1ci7_protein,1ci7,0.69775677
4hlc_protein,4hlc,0.69206256
4qsk_protein,4qsk,0.0
4ibe_protein,4ibe,0.91780156
4dpy_protein,4dpy,0.91486067
